date,open,high,low,close,close_ma5,close_ma20,close_ma60,close_ma120
2019.4.10,"1,465.23","1,481.30","1,463.64","1,477.16","1,473.32","1,419.73","1,344.11","1,266.79"
2019.4.11,"1,478.33","1,486.02","1,471.61","1,476.07","1,475.36","1,425.89","1,348.76","1,268.45"
2019.4.12,"1,490.43","1,497.13","1,484.96","1,497.12","1,479.25","1,431.12","1,353.93","1,270.55"
2019.4.15,"1,496.95","1,498.10","1,477.45","1,485.82","1,480.14","1,435.98","1,358.68","1,272.71"
2019.4.16,"1,495.60","1,533.61","1,495.23","1,533.22","1,493.88","1,442.27","1,363.76","1,275.21"
2019.4.17,"1,566.77","1,576.79","1,545.86","1,557.08","1,509.86","1,450.47","1,369.82","1,277.95"
2019.4.18,"1,557.42","1,562.64","1,550.88","1,558.13","1,526.27","1,456.29","1,376.02","1,281.38"
2019.4.22,"1,553.19","1,561.84","1,547.42","1,558.29","1,538.51","1,464.18","1,381.10","1,284.59"
2019.4.23,"1,562.28","1,579.03","1,561.37","1,574.05","1,556.15","1,473.75","1,385.98","1,288.10"
2019.4.24,"1,575.55","1,604.57","1,575.38","1,589.02","1,567.31","1,483.36","1,391.55","1,291.84"
2019.4.25,"1,582.35","1,583.73","1,547.26","1,560.32","1,567.96","1,492.55","1,396.96","1,294.95"
2019.4.26,"1,530.02","1,547.63","1,515.49","1,547.40","1,565.82","1,501.23","1,401.55","1,297.82"
2019.4.29,"1,546.44","1,551.14","1,538.20","1,544.44","1,563.05","1,508.68","1,406.09","1,300.21"
2019.4.30,"1,547.29","1,559.53","1,541.82","1,556.18","1,559.47","1,514.98","1,410.57","1,302.85"
2019.5.1,"1,570.36","1,579.19","1,543.31","1,543.48","1,550.36","1,520.57","1,414.73","1,305.47"
2019.5.2,"1,542.43","1,576.67","1,540.69","1,560.61","1,550.42","1,525.39","1,419.07","1,308.12"
2019.5.3,"1,564.50","1,571.43","1,552.96","1,570.70","1,555.08","1,530.63","1,423.02","1,310.73"
2019.5.6,"1,514.08","1,545.34","1,513.20","1,543.73","1,554.94","1,533.94","1,427.02","1,313.16"
2019.5.7,"1,522.40","1,527.28","1,489.97","1,506.32","1,544.97","1,535.18","1,430.41","1,315.47"
2019.5.8,"1,494.86","1,517.18","1,491.82","1,494.48","1,535.17","1,536.68","1,433.51","1,318.14"
2019.5.9,"1,466.59","1,483.76","1,443.98","1,476.80","1,518.41","1,536.66","1,435.84","1,320.53"
2019.5.10,"1,469.07","1,487.33","1,444.14","1,478.87","1,500.04","1,536.80","1,438.14","1,322.90"
2019.5.13,"1,431.14","1,438.48","1,403.35","1,408.95","1,473.08","1,532.39","1,439.23","1,324.35"
2019.5.14,"1,423.55","1,449.99","1,420.73","1,442.83","1,460.39","1,530.24","1,440.75","1,326.20"
2019.5.15,"1,428.48","1,464.13","1,427.45","1,454.50","1,452.39","1,526.31","1,442.52","1,328.55"
2019.5.16,"1,431.96","1,446.18","1,421.67","1,430.11","1,443.05","1,519.96","1,443.68","1,330.68"
2019.5.17,"1,408.06","1,436.15","1,396.80","1,402.01","1,427.68","1,512.15","1,444.55","1,332.53"
2019.5.20,"1,355.91","1,367.71","1,337.15","1,345.58","1,415.01","1,501.52","1,444.23","1,333.92"
2019.5.21,"1,375.49","1,380.57","1,362.96","1,374.21","1,401.28","1,491.53","1,444.20","1,335.35"
2019.5.22,"1,345.06","1,359.16","1,341.11","1,345.04","1,379.39","1,479.33","1,443.84","1,336.53"
2019.5.23,"1,316.35","1,324.46","1,302.13","1,322.84","1,357.94","1,467.45","1,443.39","1,337.29"
2019.5.24,"1,334.22","1,339.43","1,310.91","1,311.97","1,339.93","1,455.68","1,442.75","1,338.04"
2019.5.28,"1,317.88","1,323.76","1,298.09","1,300.30","1,330.87","1,443.48","1,441.70","1,338.55"
2019.5.29,"1,288.50","1,311.36","1,286.99","1,305.57","1,317.14","1,430.94","1,440.74","1,338.82"
2019.5.30,"1,309.97","1,325.78","1,305.29","1,315.29","1,311.19","1,419.54","1,440.05","1,339.71"
2019.5.31,"1,298.12","1,317.45","1,295.17","1,296.18","1,305.86","1,406.31","1,439.42","1,340.48"
2019.6.3,"1,313.32","1,324.80","1,293.11","1,300.52","1,303.57","1,392.80","1,439.11","1,341.67"
2019.6.4,"1,323.13","1,356.26","1,312.73","1,355.26","1,314.56","1,383.38","1,439.73","1,343.18"
2019.6.5,"1,365.31","1,369.53","1,328.20","1,345.10","1,322.47","1,375.32","1,439.65","1,344.55"
2019.6.6,"1,348.06","1,368.71","1,342.65","1,363.13","1,332.04","1,368.75","1,439.78","1,345.91"
2019.6.7,"1,369.62","1,382.63","1,365.71","1,378.81","1,348.56","1,363.85","1,440.08","1,347.45"
2019.6.10,"1,399.13","1,430.42","1,398.91","1,413.89","1,371.24","1,360.60","1,441.10","1,349.42"
2019.6.11,"1,438.96","1,440.80","1,408.38","1,418.02","1,383.79","1,361.06","1,441.53","1,351.55"
2019.6.12,"1,404.71","1,405.31","1,383.66","1,384.95","1,391.76","1,358.16","1,441.46","1,353.28"
2019.6.13,"1,392.85","1,398.31","1,382.65","1,392.94","1,397.72","1,355.09","1,441.22","1,355.49"
2019.6.14,"1,351.17","1,363.22","1,347.99","1,356.55","1,393.27","1,351.41","1,440.61","1,357.48"
2019.6.17,"1,357.33","1,361.87","1,346.90","1,347.86","1,380.06","1,348.70","1,439.05","1,359.54"
2019.6.18,"1,364.82","1,415.43","1,362.26","1,406.16","1,377.69","1,351.73","1,439.14","1,362.34"
2019.6.19,"1,414.52","1,416.92","1,400.31","1,407.30","1,382.16","1,353.38","1,439.55","1,364.64"
2019.6.20,"1,439.86","1,441.39","1,413.82","1,421.03","1,387.78","1,357.18","1,439.96","1,366.99"
2019.6.21,"1,414.26","1,424.84","1,408.79","1,410.50","1,398.57","1,361.57","1,440.53","1,369.18"
2019.6.24,"1,412.74","1,417.97","1,407.69","1,412.08","1,411.41","1,366.57","1,441.16","1,371.32"
2019.6.25,"1,413.75","1,420.34","1,390.33","1,391.12","1,408.41","1,371.11","1,441.09","1,373.21"
2019.6.26,"1,420.01","1,444.15","1,419.92","1,435.83","1,414.11","1,377.63","1,441.18","1,376.04"
2019.6.27,"1,447.78","1,464.85","1,446.17","1,456.90","1,421.29","1,384.71","1,441.60","1,378.64"
2019.6.28,"1,469.49","1,471.85","1,455.97","1,458.96","1,430.98","1,392.85","1,441.52","1,381.08"
2019.7.1,"1,524.14","1,531.37","1,486.31","1,497.55","1,448.07","1,402.70","1,442.04","1,383.89"
2019.7.2,"1,491.27","1,491.27","1,470.95","1,476.83","1,465.21","1,408.78","1,442.03","1,386.28"
2019.7.3,"1,474.50","1,474.62","1,460.15","1,470.49","1,472.15","1,415.04","1,441.85","1,388.53"
2019.7.5,"1,454.14","1,464.07","1,446.53","1,461.70","1,473.11","1,419.97","1,441.80","1,390.60"
2019.7.8,"1,448.86","1,455.19","1,442.57","1,450.41","1,471.40","1,423.55","1,441.36","1,392.73"
2019.7.9,"1,440.43","1,462.81","1,440.11","1,461.21","1,464.13","1,425.92","1,441.11","1,394.93"
2019.7.10,"1,474.55","1,492.34","1,469.81","1,471.51","1,463.06","1,428.59","1,440.68","1,397.30"
2019.7.11,"1,476.75","1,481.65","1,467.35","1,476.28","1,464.22","1,433.16","1,440.52","1,399.60"
2019.7.12,"1,482.56","1,504.66","1,482.36","1,504.28","1,472.74","1,438.73","1,440.04","1,401.90"
2019.7.15,"1,512.57","1,521.63","1,508.03","1,515.92","1,485.84","1,446.70","1,439.35","1,404.59"
2019.7.16,"1,506.67","1,508.47","1,492.58","1,499.64","1,493.53","1,454.28","1,438.38","1,407.20"
2019.7.17,"1,508.24","1,511.71","1,500.65","1,503.87","1,500.00","1,459.17","1,437.47","1,409.28"
2019.7.18,"1,504.78","1,530.00","1,504.51","1,526.97","1,510.14","1,465.15","1,436.69","1,411.33"
2019.7.19,"1,530.07","1,538.87","1,523.42","1,523.91","1,514.06","1,470.30","1,435.60","1,413.58"
2019.7.22,"1,535.68","1,556.39","1,535.68","1,554.09","1,521.70","1,477.48","1,435.50","1,416.23"
2019.7.23,"1,562.26","1,573.41","1,556.18","1,573.27","1,536.42","1,485.54","1,435.93","1,418.74"
2019.7.24,"1,589.41","1,625.11","1,589.41","1,622.02","1,560.05","1,497.08","1,437.22","1,421.66"
2019.7.25,"1,606.64","1,608.75","1,590.36","1,594.12","1,573.48","1,505.00","1,437.86","1,424.21"
2019.7.26,"1,604.24","1,605.74","1,593.50","1,593.86","1,587.47","1,511.84","1,438.70","1,426.71"
2019.7.29,"1,592.35","1,600.53","1,578.21","1,598.02","1,596.26","1,518.80","1,439.32","1,429.19"
2019.7.30,"1,579.10","1,597.89","1,578.15","1,593.82","1,600.37","1,523.61","1,439.70","1,431.36"
2019.7.31,"1,581.95","1,583.90","1,527.38","1,542.44","1,584.45","1,526.89","1,439.68","1,433.35"
2019.8.1,"1,539.06","1,579.49","1,498.89","1,511.98","1,568.02","1,528.97","1,439.78","1,435.10"
2019.8.2,"1,494.52","1,508.61","1,476.41","1,488.43","1,546.94","1,530.30","1,439.68","1,436.59"
2019.8.5,"1,443.24","1,446.01","1,411.73","1,423.52","1,512.04","1,528.96","1,438.79","1,437.32"
2019.8.6,"1,448.71","1,459.72","1,425.87","1,441.77","1,481.63","1,527.99","1,438.17","1,438.16"
2019.8.7,"1,424.88","1,455.53","1,423.61","1,452.12","1,463.56","1,527.02","1,438.89","1,439.06"
2019.8.8,"1,464.45","1,491.57","1,455.32","1,491.26","1,459.42","1,527.77","1,439.70","1,440.22"
2019.8.9,"1,476.53","1,481.33","1,455.20","1,464.34","1,454.60","1,525.77","1,439.86","1,441.19"
2019.8.12,"1,453.29","1,464.22","1,439.99","1,446.98","1,459.29","1,522.32","1,440.14","1,441.91"
2019.8.13,"1,442.55","1,501.20","1,436.80","1,489.66","1,468.87","1,521.82","1,441.60","1,443.07"
2019.8.14,"1,452.28","1,465.95","1,435.50","1,442.54","1,466.96","1,518.76","1,443.22","1,443.72"
2019.8.15,"1,448.54","1,452.67","1,427.23","1,439.29","1,456.56","1,514.37","1,444.30","1,444.25"
2019.8.16,"1,454.69","1,482.69","1,454.69","1,479.25","1,459.54","1,512.14","1,446.54","1,445.19"
2019.8.19,"1,513.12","1,519.30","1,499.49","1,506.99","1,471.55","1,509.78","1,449.61","1,446.50"
